Title,Release Date,Description,Release Year
El Tigre: The Adventures of Manny Rivera,2007-10-29,"Four level, side scrolling platformer for PS2, based on the Nickelodeon cartoon, ""El Tigre""",2007
Simple 2000 Series Vol. 113: The Tairyou Jigoku,2007-02-22,,2007
Mystic Nights,2005-09-29,Mystic Nights is a survival horror game with similar gameplay elements to Resident Evil. This was a Korean exclusive for the PS2. The game never had an official release as it was later canceled by Sony,2005
Monkey Turn V,2004-07-01,A third-person hydroplane racing game based on the Monkey Turn manga and anime series.,2004
The Seed: War Zone,2001-12-06,"The Seed: War Zone was an early Japanese PlayStation 2 sci-fi strategy RPG which took place in space, and featured battling spaceships. Released in 2001, it was later saw a 2003 release in Europe.",2001
Neo Atlas III,2000-12-14,"Artdink's voyaging simulator makes its way to the PS2 in the third edition of the ""Neo"" update series of The Atlas.",2000
WWE SmackDown! vs. RAW 2007,2006-11-10,Smackdown Vs. Raw 2007 is the third installment in the Smackdown Vs. Raw series.,2006
Astro Boy: The Video Game,2009-10-13,D3 published this game version of the 2009 Astro Boy movie.,2009
Driv3r,2004-06-21,"Driv3r is a 2004 action game released by Atari SA and Reflections Interactive. You play as undercover police detective Tanner, as he intercepts a worldwide car-smuggling operation and vows to take down their mysterious buyer.",2004
Mermaid Prism,2006-10-26,,2006
Net de Bomberman,2004-02-19,,2004
Twisted Metal: Black,2001-06-18,"The fifth game of the Twisted Metal franchise. It occurs outside of the ""normal"" continuity and has a much darker tone than the previous games.",2001
Transformers: Revenge of the Fallen,2009-06-23,Krome Studios's PS2/Wii action game released to coincide with the film of the same name. Savage Entertainment's PSP adaptation is based off this game.,2009
