Title,Release Date,Description,Release Year
Total Club Manager 2004,2003-11-28,Total Club Manager 2004 is a sports simulation game in which you are a manager in charge of a soccer club and you take your team game by game through up to ten seasons.,2003
Total Club Manager 2005,2004-10-22,,2004
The Renai Simulation: Renai Kissa Watashi ni Oma Cafe,2002-12-19,,2002
The Party Sugoroku,2002-12-19,,2002
The Kanji Quiz - Challenge! Kanji Kentai,2004-03-18,Think you know your kanji? Prove it!,2004
The Renai Adventure 2: Jo no Ko no Tameno,2002-10-24,,2002
The Aka-Champion,2005-12-29,The Aka-Champion is a Japanese infant sports game. Go ahead and wrap your head around that one for a minute.,2005
THE Robot Tsukurou Ze!,2005-07-04,"It's a game about battling robots. No, not the giant kind - the small, remote-controlled kind that you can actually buy or build these days if you have enough time and money.",2005
Red Bull BC One,2008-09-16,Breakdancing game for the Nintendo DS inspired by the competition of the same name.,2008
Dragon Quest: Shounen Yangus to Fushigi no Dungeon,2006-04-20,A prequel to Dragon Quest VIII featuring Yangus as the main character.,2006
Itadaki Street Special,2004-12-22,"A computer board game envisioned by the Dragon Quest designer Yuji Horii, Itadaki Street Special features characters from both the Dragon Quest and Final Fantasy franchises.",2004
GuitarFreaks 4thMIX,2000-09-20,The 4th game in the Guitar Freaks series.,2000
GuitarFreaks 3rdMIX & DrumMania 2ndMIX,2001-01-06,,2001
Guitar Freaks & DrumMania: Masterpiece Silver,2006-08-31,Japanese only release by konami,2006
Guitar Freaks V2 & DrumMania V2,2006-11-22,Japanese only release by konami,2006
Guitar Freaks V3 & DrumMania V3,2007-10-04,Japanese only release by konami,2007
pop'n music Best Hits,2003-02-27,This Best Hits version of Pop'n Music features fan favoirtes of the first 6 Pop'n Music games and also some new songs.,2003
pop'n music FEVER!,2007-07-12,The 14th game in the Pop'n Music franchise.,2007
pop'n music CARNIVAL,2006-09-28,The 13th game in the Pop'n Music franchise.,2006
pop'n music IROHA,2006-03-02,The 12th game in the Pop'n Music franchise.,2006
Pop'n Music 11,2005-07-21,The 11th game in the Pop'n Music franchise.,2005
pop'n music 10,2004-11-18,The 10th game in the Pop'n Music franchise.,2004
pop'n music 9,2004-02-19,The 9th game in the Pop'n Music franchise.,2004
pop'n music 8,2003-07-03,The 8th game in the Pop'n Music franchise.,2003
pop'n music 7,2002-11-21,The 7th game in the Pop'n Music franchise.,2002
beatmania IIDX 10th style,2004-01-16,The 10th game in the IIDX series.,2004
beatmania IIDX 9th style,2003-07-09,The 10th game in the IIDX series.,2003
beatmania IIDX 8th style,2004-11-18,The 8th game in the IIDX series.,2004
beatmania IIDX 7th style,2004-05-14,The 7th game in the IIDX series.,2004
beatmania IIDX 6th style,2002-07-18,The 6th game in the beatmania IIDX series. This version saw a major graphical upgrade in terms of interface and overall polish. Features many licensed tracks from Avex's Super Eurobeat and Cutting Edge sub labels.,2002
beatmania IIDX 5th style,2001-08-30,The 5th release in the beatmania IIDX series. Marks the first of many appearances from Namco mainstays sampling masters.,2001
beatmania IIDX 4th style,2001-03-29,"The 4th game in the beatmania IIDX series. Features a few more licenses from the Dance Express-Hi Speed CD series, as well as covers of popular 80's tracks from some of Konami's in-house artists.",2001
Mobile Suit Gundam 00: Gundam Meisters,2008-10-16,"Bandai Namco will release Mobile Suit Gundam 00: Gundam Meisters for PlayStation 2 in Japan in October 2008, a new 3D action game based on the Gundam 00 TV series",2008
Super Robot Wars Impact,2002-03-28,"Super Robot Wars Impact is the first SRW game for the Playstation 2. It is an enhanced remake of the three chapters of Compact 2 and contains over 100 stages, making it the longest SRW to date.",2002
Super Robot Wars OG: Original Generations,2007-06-28,"A PS2 remake of the first two SRW OG games released on the GBA, includes improved graphics and animation, new battle systems, extra levels and some all new plot.",2007
Super Robot Wars Scramble Commander the 2nd,2007-11-01,"The second game of Super Robot Wars's ""Scramble Commander"" subseries. It is a real-time strategy game, unlike the rest of the franchise.",2007
SD Gundam G Generation Seed,2004-02-19,SD Gundam game focusing more on the Seed series. It was released on the PS2 in Feb.19 '04 and later made their Greatest Hits list.,2004
SD Gundam G Generation Neo,2002-11-28,"This was the 1st SD Gundam game on the PS2, it's Japanese only and was released Nov.28 '02. The game follows the stories of the Gundam animes.",2002
G-Saviour,2000-09-14,A mecha action game based on the live-action movie of the same name.,2000
All-Star Baseball 2002,2001-03-12,,2001
All-Star Baseball 2004,2003-02-25,,2003
High Heat Major League Baseball 2004,2003-03-04,It's a baseball game!,2003
MLB Power Pros 2008,2008-07-28,MLB Power Pros 2008 is the second installment in the Power Pros series to be released in North America.,2008
MVP Baseball 2003,2003-03-10,MVP Baseball 2003 is the inaugural entry in EA's MVP Baseball franchise.,2003
MVP 06 NCAA Baseball,2006-01-18,College baseball gets its day in the sun with MVP 06.,2006
MVP 07 NCAA Baseball,2007-02-06,NCAA baseball returns for a second installment in MVP 07. This would be EA's last venture into College baseball.,2007
The BIGS,2007-06-25,"The BIGS is a baseball game developed by 2K Sports. It focuses more on being over the top (giant muscles, long home runs, fast pitches) instead of being a simulator.",2007
Triple Play 2002,2002-03-12,Batter Up! It's time for EA Sports' 2002 entry into their baseball franchise Triple Play.,2002
Mobile Suit Gundam SEED,2003-07-31,This Japan-exclusive game is the first to be based on the Gundam SEED franchise. It is a 2.5D action game that faithfully follows the plot of the show.,2003
Mobile Suit Gundam: Lost War Chronicles,2002-08-01,A side-story based on Mobile Suit Gundam. It follows a team of grunts fighting during the iconic One Year War.,2002
Mobile Suit Gundam: One Year War,2005-04-07,"Mobile Suit Gundam: One Year War is an action game based on the Mobile Suit Gundam franchise. Like many Gundam games before it, it portrays the events of the original 1979 anime.",2005
Mobile Suit Gundam: Climax U.C.,2006-03-02,"Climax U.C. is a game that allows the player to relive several battles throughout Gundam's ""Universal Century"" timeline.",2006
Mobile Suit Gundam SEED Destiny: Rengou vs. Z.A.F.T. II,2006-12-07,"The fifth game of the ""Gundam vs"" series, Alliance vs Z.A.F.T. II is an arcade action game, notably featuring mobile suits from Gundam SEED and its sequel Gundam SEED Destiny.",2006
Mobile Suit Zeta Gundam: AEUG vs. Titans,2003-12-04,"The second game of the ""Gundam vs"" series, AEUG vs. Titans covers the Gryps Conflict (the story of Mobile Suit Zeta Gundam).",2003
SD Gundam G Generation Wars,2009-08-06,"SD Gundam G Generation Wars is the newest entry in the G Generation franchise, featuring the G Gen debut of Mobile Suit Gundam 00. The new ""Wars Break"" system allows for crossover encounters.",2009
SingStar: Singalong with Disney,2008-11-06,"SingStar: Singalong With Disney is a SingStar title made exclusively for PAL territories, featuring songs from an array of Disney movies.",2008
Ultraman Nexus,2005-05-26,Ultraman Nexus is a Playstation 2 fighting game based on the japenese television series of the same name.,2005
Lunatic Dawn Tempest,2001-02-08,"The most recent title in the role-playing series from Artdink, released for PlayStation 2.",2001
Singstar Portugal Hits,2010-07-17,A Portuguese exclusive Singstar. It has some of the most famous Portuguese songs to date.,2010
Kamen Rider Kabuto,2006-11-30,"Kamen Rider Kabuto is released in Japan in Nov 30, 2006.",2006
Osouji Sentai Clean Sweeper H,2009-10-01,'Clean Sweeper' is a dating game for the PS2. The main focus of the game is keeping germs away from the girls you are dating.,2009
MLB 06: The Show,2006-02-28,"Sony's baseball game famous for its ""The Show"" mode.",2006
NFL GameDay 2001,2000-08-16,,2000
NFL GameDay 2003,2002-08-12,The first game in 989 studios' PlayStation exclusive GameDay series to feature online play.,2002
NFL GameDay 2004,2003-08-27,,2003
Street Hoops,2002-08-12,,2002
NCAA GameBreaker 2003,2002-08-12,Football.,2002
ESPN College Hoops 2K5,2004-11-17,An American college basketball game.,2004
NBA Starting Five,2002-10-09,Konami tries its hand at pro basketball on the PS2 and Xbox.,2002
NBA Starting Five 2005,2004-11-11,Japan-only basketball game,2004
NCAA Football 2003,2002-07-20,The college football season is back for the 2003 season with NCAA Football 2003 featuring Joey Harrington on the cover.,2002
NCAA Football 2004,2003-07-15,NCAA Football 2004 is an collegiate American football game released in 2003. It was developed by EA Tiburon and published by Electronic Arts. The cover athlete is Heisman Trophy winner and former USC quarterback Carson Palmer.,2003
NCAA Football 2005,2004-07-15,NCAA Football 2005 is the 2004 installment of EA's NCAA Football franchise. It bears former Pittsburgh Panther and current Arizona Cardinal Larry Fitzgerald on the cover.,2004
NCAA Football 06,2005-07-11,The cover athlete for NCAA 06 is former Michigan Wolverine and Heisman Trophy Winner Desmond Howard.,2005
NCAA Football 07,2006-07-18,"NCAA Football 2007 is the 10th game in the NCAA Football series. The theme for NCAA Football 2007 is ""Turn the Tide."" It features former USC Trojan and Heisman Winner Reggie Bush, who currently plays for the New Orleans Saints. This is the first next-generation NCAA Football game.",2006
NCAA Football 08,2007-07-17,"NCAA Football 08 is the 11th installment of the franchise. This version sported a new engine and control scheme, allowing for a different gameplay experience than previous iterations.",2007
NCAA Football 11,2010-07-13,"EA's upcoming college pigskin game will feature new locomotion player movements, new equipment, formation subs, and more. Former University of Florida quarterback and Heisman Trophy Tim Tebow will grace the cover of this year's edition.",2010
NCAA Final Four 2001,2000-11-13,NCAA Final Four 2001,2000
NCAA Final Four 2002,2001-11-12,NCAA Final Four 2002,2001
NCAA Final Four 2003,2002-11-27,NCAA Final Four 2003,2002
NCAA Final Four 2004,2003-11-11,NCAA Final Four 2004,2003
NCAA GameBreaker 2004,2003-08-26,Sony's college football franchise for the 2003 season.,2003
Herdy Gerdy,2002-02-22,From the creative minds behind the original Tomb Raider games comes this innovative fantasy herd-'em-up/platformer/puzzler.,2002
NBA ShootOut 2003,2002-09-24,"NBA ShootOut 2003 is the seventh game in Sony's basketball simulation franchise. The PS1 version of the game continued the trend of bringing almost no improvements from previous entries, while the PS2 release was the first to feature the Create Dunk on the platform.",2002
NCAA Basketball 09,2008-11-17,"Formerly known as the NCAA March Madness Series, NCAA Basketball 09 is the exclusive NCAA Basketball game by EA Sports.  It serves as the only up-to-date college basketball simulation on the market.  Cover athlete is Kevin Love of the UCLA Bruins.",2008
NCAA March Madness 2003,2002-11-21,EA's 2003 iteration of its college basketball series.,2002
NCAA March Madness 2004,2003-11-17,Choose from one of 320 Division I schools and enter the 30 year dynasty mode.,2003
NCAA March Madness 2005,2004-11-17,,2004
NCAA March Madness 06,2005-10-11,,2005
NCAA 07 March Madness,2007-01-17,,2007
Army Men: Major Malfunction,2006-04-14,"In the latest addition to the franchise, Private Anderson must fight an enemy named Major Malfunction.",2006
NBA 07,2006-09-26,,2006
NBA '08,2007-10-02,The 2008 iteration of Sony's NBA series.,2007
NBA Live 06,2005-09-26,NBA Live 06 is the first game in the franchise to reach next generation consoles.,2005
Summer Athletics 2009,2009-09-24,Summer Athletics is back with the 2009 edition,2009
Surf's Up,2007-05-29,"Surf's Up is a multiplatform game developed by Ubisoft based on the movie of the same name. As a variety of avian characters from the movie, players compete in surfing challenges.",2007
My Horse & Me 2,2008-10-31,Explore and roam around new and official courses in my Horse & Me 2. Features multiplayer and customization options too.,2008
RC Cars,2003-12-11,"RC Cars is a RC Car racing game developed by Creat Studio, released on the 11th of December, 2003.",2003
ESPN NBA Basketball 2004,2003-10-21,"ESPN NBA Basketball (also known as NBA 2K4) is the fifth installment of the NBA 2K series of realistic basketball games, updating the roster to the 2003/2004 NBA season while adding a new player manuever system (using the right analog stick) and a new player creation/training mode.",2003
